GenBank seq accession	RefSeq seq accession	Sequence name	UCSC style name
CAWUFU020000680.1		scaffold_1170	
CAWUFU020000681.1		scaffold_1171	
CAWUFU020000682.1		scaffold_1172	
CAWUFU020000683.1		scaffold_1173	
CAWUFU020000684.1		scaffold_1174	
CAWUFU020000685.1		scaffold_1176	
CAWUFU020000686.1		scaffold_1177	
CAWUFU020000687.1		scaffold_1179	
CAWUFU020000688.1		scaffold_1180	
CAWUFU020000689.1		scaffold_1181	
CAWUFU020000690.1		scaffold_1182	
CAWUFU020000691.1		scaffold_1183	
CAWUFU020000692.1		scaffold_1184	
CAWUFU020000693.1		scaffold_1185	
CAWUFU020000694.1		scaffold_1186	
CAWUFU020000695.1		scaffold_1187	
CAWUFU020000696.1		scaffold_1188	
CAWUFU020000697.1		scaffold_1189	
CAWUFU020000698.1		scaffold_1190	
CAWUFU020000699.1		scaffold_1191	
CAWUFU020000700.1		scaffold_1192	
CAWUFU020000701.1		scaffold_1193	
CAWUFU020000702.1		scaffold_1194	
CAWUFU020000703.1		scaffold_1195	
CAWUFU020000704.1		scaffold_1196	
CAWUFU020000705.1		scaffold_1197	
CAWUFU020000706.1		scaffold_1198	
CAWUFU020000707.1		scaffold_1199	
CAWUFU020000708.1		scaffold_1200	
CAWUFU020000709.1		scaffold_1201	
CAWUFU020000710.1		scaffold_1202	
CAWUFU020000711.1		scaffold_1203	
CAWUFU020000712.1		scaffold_1204	
CAWUFU020000713.1		scaffold_1205	
CAWUFU020000714.1		scaffold_1207	
CAWUFU020000715.1		scaffold_1209	
CAWUFU020000716.1		scaffold_1210	
CAWUFU020000717.1		scaffold_1211	
CAWUFU020000718.1		scaffold_1212	
CAWUFU020000719.1		scaffold_1213	
CAWUFU020000720.1		scaffold_1214	
CAWUFU020000721.1		scaffold_1215	
CAWUFU020000722.1		scaffold_1216	
CAWUFU020000723.1		scaffold_1217	
CAWUFU020000724.1		scaffold_1218	
CAWUFU020000725.1		scaffold_1219	
CAWUFU020000726.1		scaffold_1220	
CAWUFU020000727.1		scaffold_1221	
CAWUFU020000728.1		scaffold_1222	
CAWUFU020000729.1		scaffold_1223	
CAWUFU020000730.1		scaffold_1224	
CAWUFU020000731.1		scaffold_1225	
CAWUFU020000732.1		scaffold_1226	
CAWUFU020000733.1		scaffold_1228	
CAWUFU020000734.1		scaffold_1229	
CAWUFU020000735.1		scaffold_1230	
CAWUFU020000736.1		scaffold_1231	
CAWUFU020000737.1		scaffold_1232	
CAWUFU020000738.1		scaffold_1233	
CAWUFU020000739.1		scaffold_1234	
CAWUFU020000740.1		scaffold_1235	
CAWUFU020000741.1		scaffold_1236	
CAWUFU020000742.1		scaffold_1237	
CAWUFU020000743.1		scaffold_1238	
CAWUFU020000744.1		scaffold_1240	
CAWUFU020000745.1		scaffold_1241	
CAWUFU020000746.1		scaffold_1242	
CAWUFU020000747.1		scaffold_1243	
CAWUFU020000748.1		scaffold_1244	
CAWUFU020000749.1		scaffold_1245	
CAWUFU020000750.1		scaffold_1246	
CAWUFU020000751.1		scaffold_1247	
CAWUFU020000752.1		scaffold_1248	
CAWUFU020000753.1		scaffold_1249	
CAWUFU020000754.1		scaffold_1250	
CAWUFU020000755.1		scaffold_1251	
CAWUFU020000756.1		scaffold_1252	
CAWUFU020000757.1		scaffold_1253	
CAWUFU020000758.1		scaffold_1254	
CAWUFU020000759.1		scaffold_1255	
CAWUFU020000760.1		scaffold_1256	
CAWUFU020000761.1		scaffold_1257	
CAWUFU020000762.1		scaffold_1259	
CAWUFU020000763.1		scaffold_1260	
CAWUFU020000764.1		scaffold_1261	
CAWUFU020000765.1		scaffold_1262	
CAWUFU020000766.1		scaffold_1263	
CAWUFU020000767.1		scaffold_1264	
CAWUFU020000768.1		scaffold_1265	
CAWUFU020000769.1		scaffold_1266	
CAWUFU020000770.1		scaffold_1267	
CAWUFU020000771.1		scaffold_1269	
CAWUFU020000772.1		scaffold_1270	
CAWUFU020000773.1		scaffold_1272	
CAWUFU020000774.1		scaffold_1273	
CAWUFU020000775.1		scaffold_1274	
CAWUFU020000776.1		scaffold_1275	
CAWUFU020000777.1		scaffold_1277	
CAWUFU020000778.1		scaffold_1278	
CAWUFU020000779.1		scaffold_1279	
CAWUFU020000780.1		scaffold_1280	
CAWUFU020000781.1		scaffold_1281	
CAWUFU020000782.1		scaffold_1282	
CAWUFU020000783.1		scaffold_1283	
CAWUFU020000784.1		scaffold_1284	
CAWUFU020000785.1		scaffold_1285	
CAWUFU020000786.1		scaffold_1286	
CAWUFU020000787.1		scaffold_1287	
CAWUFU020000788.1		scaffold_1288	
CAWUFU020000789.1		scaffold_1289	
CAWUFU020000790.1		scaffold_1291	
CAWUFU020000791.1		scaffold_1292	
CAWUFU020000792.1		scaffold_1293	
CAWUFU020000793.1		scaffold_1294	
CAWUFU020000794.1		scaffold_1295	
CAWUFU020000795.1		scaffold_1296	
CAWUFU020000796.1		scaffold_1297	
CAWUFU020000797.1		scaffold_1298	
CAWUFU020000798.1		scaffold_1299	
CAWUFU020000799.1		scaffold_1300	
CAWUFU020000800.1		scaffold_1301	
CAWUFU020000801.1		scaffold_1302	
CAWUFU020000802.1		scaffold_1303	
CAWUFU020000803.1		scaffold_1304	
CAWUFU020000804.1		scaffold_1305	
CAWUFU020000805.1		scaffold_1307	
CAWUFU020000806.1		scaffold_1308	
CAWUFU020000807.1		scaffold_1309	
CAWUFU020000808.1		scaffold_1310	
CAWUFU020000809.1		scaffold_1312	
CAWUFU020000810.1		scaffold_1313	
CAWUFU020000811.1		scaffold_1314	
CAWUFU020000812.1		scaffold_1315	
CAWUFU020000813.1		scaffold_1316	
CAWUFU020000814.1		scaffold_1318	
CAWUFU020000815.1		scaffold_1319	
CAWUFU020000816.1		scaffold_1320	
CAWUFU020000817.1		scaffold_1321	
CAWUFU020000818.1		scaffold_1322	
CAWUFU020000819.1		scaffold_1323	
CAWUFU020000820.1		scaffold_1324	
CAWUFU020000821.1		scaffold_1325	
CAWUFU020000822.1		scaffold_1326	
CAWUFU020000823.1		scaffold_1327	
CAWUFU020000824.1		scaffold_1328	
CAWUFU020000825.1		scaffold_1329	
CAWUFU020000826.1		scaffold_1330	
CAWUFU020000827.1		scaffold_1332	
CAWUFU020000828.1		scaffold_1333	
CAWUFU020000829.1		scaffold_1334	
CAWUFU020000830.1		scaffold_1335	
CAWUFU020000831.1		scaffold_1336	
CAWUFU020000832.1		scaffold_1337	
CAWUFU020000833.1		scaffold_1338	
CAWUFU020000834.1		scaffold_1339	
CAWUFU020000835.1		scaffold_1340	
CAWUFU020000836.1		scaffold_1341	
CAWUFU020000837.1		scaffold_1342	
CAWUFU020000838.1		scaffold_1343	
CAWUFU020000839.1		scaffold_1344	
CAWUFU020000840.1		scaffold_1345	
CAWUFU020000841.1		scaffold_1346	
CAWUFU020000842.1		scaffold_1348	
CAWUFU020000843.1		scaffold_1349	
CAWUFU020000844.1		scaffold_1350	
CAWUFU020000845.1		scaffold_1352	
CAWUFU020000846.1		scaffold_1353	
CAWUFU020000847.1		scaffold_1354	
CAWUFU020000848.1		scaffold_1355	
CAWUFU020000849.1		scaffold_1356	
CAWUFU020000850.1		scaffold_1357	
CAWUFU020000851.1		scaffold_1358	
CAWUFU020000852.1		scaffold_1359	
CAWUFU020000853.1		scaffold_1360	
CAWUFU020000854.1		scaffold_1361	
CAWUFU020000855.1		scaffold_1362	
CAWUFU020000856.1		scaffold_1364	
CAWUFU020000857.1		scaffold_1365	
CAWUFU020000858.1		scaffold_1366	
CAWUFU020000859.1		scaffold_1367	
CAWUFU020000860.1		scaffold_1368	
CAWUFU020000861.1		scaffold_1369	
CAWUFU020000862.1		scaffold_1371	
CAWUFU020000863.1		scaffold_1375	
CAWUFU020000864.1		scaffold_1377	
CAWUFU020000865.1		scaffold_1378	
CAWUFU020000866.1		scaffold_1379	
CAWUFU020000867.1		scaffold_1381	
CAWUFU020000868.1		scaffold_1382	
CAWUFU020000869.1		scaffold_1383	
CAWUFU020000870.1		scaffold_1384	
CAWUFU020000871.1		scaffold_1385	
CAWUFU020000872.1		scaffold_1386	
CAWUFU020000873.1		scaffold_1388	
CAWUFU020000874.1		scaffold_1389	
CAWUFU020000875.1		scaffold_1390	
CAWUFU020000876.1		scaffold_1391	
CAWUFU020000877.1		scaffold_1394	
CAWUFU020000878.1		scaffold_1395	
CAWUFU020000879.1		scaffold_1397	
CAWUFU020000880.1		scaffold_1398	
CAWUFU020000881.1		scaffold_1399	
CAWUFU020000882.1		scaffold_1400	
CAWUFU020000883.1		scaffold_1401	
CAWUFU020000884.1		scaffold_1402	
CAWUFU020000885.1		scaffold_1403	
CAWUFU020000886.1		scaffold_1404	
CAWUFU020000887.1		scaffold_1405	
CAWUFU020000888.1		scaffold_1406	
CAWUFU020000889.1		scaffold_1407	
CAWUFU020000890.1		scaffold_1408	
CAWUFU020000891.1		scaffold_1409	
CAWUFU020000892.1		scaffold_1410	
CAWUFU020000893.1		scaffold_1411	
CAWUFU020000894.1		scaffold_1412	
CAWUFU020000895.1		scaffold_1413	
CAWUFU020000896.1		scaffold_1414	
CAWUFU020000897.1		scaffold_1415	
CAWUFU020000898.1		scaffold_1416	
CAWUFU020000899.1		scaffold_1417	
CAWUFU020000900.1		scaffold_1418	
CAWUFU020000901.1		scaffold_1419	
CAWUFU020000902.1		scaffold_1420	
CAWUFU020000903.1		scaffold_1421	
CAWUFU020000904.1		scaffold_1422	
CAWUFU020000905.1		scaffold_1423	
CAWUFU020000906.1		scaffold_1424	
CAWUFU020000907.1		scaffold_1425	
CAWUFU020000908.1		scaffold_1426	
CAWUFU020000909.1		scaffold_1427	
CAWUFU020000910.1		scaffold_1428	
CAWUFU020000911.1		scaffold_1429	
CAWUFU020000912.1		scaffold_1430	
CAWUFU020000913.1		scaffold_1431	
CAWUFU020000914.1		scaffold_1432	
CAWUFU020000915.1		scaffold_1433	
CAWUFU020000916.1		scaffold_1434	
CAWUFU020000917.1		scaffold_1435	
CAWUFU020000918.1		scaffold_1436	
CAWUFU020000919.1		scaffold_1437	
CAWUFU020000920.1		scaffold_1438	
CAWUFU020000921.1		scaffold_1439	
CAWUFU020000922.1		scaffold_1440	
CAWUFU020000923.1		scaffold_1441	
CAWUFU020000924.1		scaffold_1442	
CAWUFU020000925.1		scaffold_1443	
CAWUFU020000926.1		scaffold_1444	
CAWUFU020000927.1		scaffold_1445	
CAWUFU020000928.1		scaffold_1446	
CAWUFU020000929.1		scaffold_1447	
CAWUFU020000930.1		scaffold_1448	
CAWUFU020000931.1		scaffold_1449	
CAWUFU020000932.1		scaffold_1450	
CAWUFU020000933.1		scaffold_1451	
CAWUFU020000934.1		scaffold_1452	
CAWUFU020000935.1		scaffold_1453	
CAWUFU020000936.1		scaffold_1454	
CAWUFU020000937.1		scaffold_1455	
CAWUFU020000938.1		scaffold_1456	
CAWUFU020000939.1		scaffold_1457	
CAWUFU020000940.1		scaffold_1458	
CAWUFU020000941.1		scaffold_1459	
CAWUFU020000942.1		scaffold_1461	
CAWUFU020000943.1		scaffold_1462	
CAWUFU020000944.1		scaffold_1463	
CAWUFU020000945.1		scaffold_1464	
CAWUFU020000946.1		scaffold_1465	
CAWUFU020000947.1		scaffold_1466	
CAWUFU020000948.1		scaffold_1467	
CAWUFU020000949.1		scaffold_1468	
CAWUFU020000950.1		scaffold_1469	
CAWUFU020000951.1		scaffold_1470	
CAWUFU020000952.1		scaffold_1472	
CAWUFU020000953.1		scaffold_1473	
CAWUFU020000954.1		scaffold_1474	
CAWUFU020000955.1		scaffold_1475	
CAWUFU020000956.1		scaffold_1476	
CAWUFU020000957.1		scaffold_1477	
CAWUFU020000958.1		scaffold_1478	
CAWUFU020000959.1		scaffold_1479	
CAWUFU020000960.1		scaffold_1481	
CAWUFU020000961.1		scaffold_1483	
CAWUFU020000962.1		scaffold_1484	
CAWUFU020000963.1		scaffold_1485	
CAWUFU020000964.1		scaffold_1486	
CAWUFU020000965.1		scaffold_1487	
CAWUFU020000966.1		scaffold_1488	
CAWUFU020000967.1		scaffold_1489	
CAWUFU020000968.1		scaffold_1490	
CAWUFU020000969.1		scaffold_1491	
CAWUFU020000970.1		scaffold_1492	
CAWUFU020000971.1		scaffold_1493	
CAWUFU020000972.1		scaffold_1494	
CAWUFU020000973.1		scaffold_1495	
CAWUFU020000974.1		scaffold_1496	
CAWUFU020000975.1		scaffold_1497	
CAWUFU020000976.1		scaffold_1498	
CAWUFU020000977.1		scaffold_1499	
CAWUFU020000978.1		scaffold_1500	
CAWUFU020000979.1		scaffold_1501	
CAWUFU020000980.1		scaffold_1502	
CAWUFU020000981.1		scaffold_1503	
CAWUFU020000982.1		scaffold_1504	
CAWUFU020000983.1		scaffold_1505	
CAWUFU020000984.1		scaffold_1506	
CAWUFU020000985.1		scaffold_1507	
CAWUFU020000986.1		scaffold_1508	
CAWUFU020000987.1		scaffold_1509	
CAWUFU020000988.1		scaffold_1511	
CAWUFU020000989.1		scaffold_1513	
CAWUFU020000990.1		scaffold_1514	
CAWUFU020000991.1		scaffold_1515	
CAWUFU020000992.1		scaffold_1516	
CAWUFU020000993.1		scaffold_1517	
CAWUFU020000994.1		scaffold_1518	
CAWUFU020000995.1		scaffold_1519	
CAWUFU020000996.1		scaffold_1520	
CAWUFU020000997.1		scaffold_1521	
CAWUFU020000998.1		scaffold_1522	
CAWUFU020000999.1		scaffold_1523	
CAWUFU020001000.1		scaffold_1524	
CAWUFU020001001.1		scaffold_1525	
CAWUFU020001002.1		scaffold_1526	
CAWUFU020001003.1		scaffold_1527	
CAWUFU020001004.1		scaffold_1528	
CAWUFU020001005.1		scaffold_1529	
CAWUFU020001006.1		scaffold_1530	
CAWUFU020001007.1		scaffold_1531	
CAWUFU020001008.1		scaffold_1533	
CAWUFU020001009.1		scaffold_1534	
CAWUFU020001010.1		scaffold_1535	
CAWUFU020001011.1		scaffold_1536	
CAWUFU020001012.1		scaffold_1537	
CAWUFU020001013.1		scaffold_1538	
CAWUFU020001014.1		scaffold_1540	
CAWUFU020001015.1		scaffold_1541	
CAWUFU020001016.1		scaffold_1542	
CAWUFU020001017.1		scaffold_1543	
CAWUFU020001018.1		scaffold_1544	
CAWUFU020001019.1		scaffold_1545	
CAWUFU020001020.1		scaffold_1546	
CAWUFU020001021.1		scaffold_1549	
CAWUFU020001022.1		scaffold_1550	
CAWUFU020001023.1		scaffold_1551	
CAWUFU020001024.1		scaffold_1552	
CAWUFU020001025.1		scaffold_1553	
CAWUFU020001026.1		scaffold_1555	
CAWUFU020001027.1		scaffold_1556	
CAWUFU020001028.1		scaffold_1557	
CAWUFU020001029.1		scaffold_1558	
CAWUFU020001030.1		scaffold_1559	
CAWUFU020001031.1		scaffold_1560	
CAWUFU020001032.1		scaffold_1561	
CAWUFU020001033.1		scaffold_1562	
CAWUFU020001034.1		scaffold_1563	
CAWUFU020001035.1		scaffold_1564	
CAWUFU020001036.1		scaffold_1565	
CAWUFU020001037.1		scaffold_1566	
CAWUFU020001038.1		scaffold_1567	
CAWUFU020001039.1		scaffold_1568	
CAWUFU020001040.1		scaffold_1570	
CAWUFU020001041.1		scaffold_1571	
CAWUFU020001042.1		scaffold_1572	
CAWUFU020001043.1		scaffold_1573	
CAWUFU020001044.1		scaffold_1574	
CAWUFU020001045.1		scaffold_1576	
CAWUFU020001046.1		scaffold_1577	
CAWUFU020001047.1		scaffold_1578	
CAWUFU020001048.1		scaffold_1579	
CAWUFU020001049.1		scaffold_1581	
CAWUFU020001050.1		scaffold_1583	
CAWUFU020001051.1		scaffold_1584	
CAWUFU020001052.1		scaffold_1585	
CAWUFU020001053.1		scaffold_1586	
CAWUFU020001054.1		scaffold_1587	
CAWUFU020001055.1		scaffold_1588	
CAWUFU020001056.1		scaffold_1589	
CAWUFU020001057.1		scaffold_1590	
CAWUFU020001058.1		scaffold_1591	
CAWUFU020001059.1		scaffold_1592	
CAWUFU020001060.1		scaffold_1593	
CAWUFU020001061.1		scaffold_1594	
CAWUFU020001062.1		scaffold_1595	
CAWUFU020001063.1		scaffold_1596	
CAWUFU020001064.1		scaffold_1598	
CAWUFU020001065.1		scaffold_1599	
CAWUFU020001066.1		scaffold_1600	
CAWUFU020001067.1		scaffold_1601	
CAWUFU020001068.1		scaffold_1602	
CAWUFU020001069.1		scaffold_1603	
CAWUFU020001070.1		scaffold_1604	
CAWUFU020001071.1		scaffold_1605	
CAWUFU020001072.1		scaffold_1606	
CAWUFU020001073.1		scaffold_1607	
CAWUFU020001074.1		scaffold_1608	
CAWUFU020001075.1		scaffold_1609	
CAWUFU020001076.1		scaffold_1610	
CAWUFU020001077.1		scaffold_1611	
CAWUFU020001078.1		scaffold_1612	
CAWUFU020001079.1		scaffold_1613	
CAWUFU020001080.1		scaffold_1614	
CAWUFU020001081.1		scaffold_1615	
CAWUFU020001082.1		scaffold_1616	
CAWUFU020001083.1		scaffold_1617	
CAWUFU020001084.1		scaffold_1618	
CAWUFU020001085.1		scaffold_1619	
CAWUFU020001086.1		scaffold_1620	
CAWUFU020001087.1		scaffold_1621	
CAWUFU020001088.1		scaffold_1623	
CAWUFU020001089.1		scaffold_1624	
CAWUFU020001090.1		scaffold_1625	
CAWUFU020001091.1		scaffold_1626	
CAWUFU020001092.1		scaffold_1627	
CAWUFU020001093.1		scaffold_1628	
CAWUFU020001094.1		scaffold_1629	
CAWUFU020001095.1		scaffold_1630	
CAWUFU020001096.1		scaffold_1631	
CAWUFU020001097.1		scaffold_1632	
CAWUFU020001098.1		scaffold_1633	
CAWUFU020001099.1		scaffold_1634	
CAWUFU020001100.1		scaffold_1635	
CAWUFU020001101.1		scaffold_1636	
CAWUFU020001102.1		scaffold_1637	
CAWUFU020001103.1		scaffold_1638	
CAWUFU020001104.1		scaffold_1639	
CAWUFU020001105.1		scaffold_1640	
CAWUFU020001106.1		scaffold_1641	
CAWUFU020001107.1		scaffold_1642	
CAWUFU020001108.1		scaffold_1643	
CAWUFU020001109.1		scaffold_1644	
CAWUFU020001110.1		scaffold_1645	
CAWUFU020001111.1		scaffold_1646	
CAWUFU020001112.1		scaffold_1647	
CAWUFU020001113.1		scaffold_1648	
CAWUFU020001114.1		scaffold_1649	
CAWUFU020001115.1		scaffold_1650	
CAWUFU020001116.1		scaffold_1651	
CAWUFU020001117.1		scaffold_1652	
CAWUFU020001118.1		scaffold_1653	
CAWUFU020001119.1		scaffold_1654	
CAWUFU020001120.1		scaffold_1655	
CAWUFU020001121.1		scaffold_1656	
CAWUFU020001122.1		scaffold_1657	
CAWUFU020001123.1		scaffold_1658	
CAWUFU020001124.1		scaffold_1659	
CAWUFU020001125.1		scaffold_1660	
CAWUFU020001126.1		scaffold_1661	
CAWUFU020001127.1		scaffold_1662	
CAWUFU020001128.1		scaffold_1663	
CAWUFU020001129.1		scaffold_1664	
CAWUFU020001130.1		scaffold_1665	
CAWUFU020001131.1		scaffold_1666	
CAWUFU020001132.1		scaffold_1667	
CAWUFU020001133.1		scaffold_1668	
CAWUFU020001134.1		scaffold_1669	
CAWUFU020001135.1		scaffold_1670	
CAWUFU020001136.1		scaffold_1671	
CAWUFU020001137.1		scaffold_1672	
CAWUFU020001138.1		scaffold_1673	
CAWUFU020001139.1		scaffold_1674	
CAWUFU020001140.1		scaffold_1675	
CAWUFU020001141.1		scaffold_1676	
CAWUFU020001142.1		scaffold_1677	
CAWUFU020001143.1		scaffold_1679	
CAWUFU020001144.1		scaffold_1680	
CAWUFU020001145.1		scaffold_1681	
CAWUFU020001146.1		scaffold_1682	
CAWUFU020001147.1		scaffold_1683	
CAWUFU020001148.1		scaffold_1684	
CAWUFU020001149.1		scaffold_1685	
CAWUFU020001150.1		scaffold_1686	
CAWUFU020001151.1		scaffold_1687	
CAWUFU020001152.1		scaffold_1688	
CAWUFU020001153.1		scaffold_1689	
CAWUFU020001154.1		scaffold_1690	
CAWUFU020001155.1		scaffold_1691	
CAWUFU020001156.1		scaffold_1692	
CAWUFU020001157.1		scaffold_1693	
CAWUFU020001158.1		scaffold_1694	
CAWUFU020001159.1		scaffold_1695	
CAWUFU020001160.1		scaffold_1696	
CAWUFU020001161.1		scaffold_1697	
CAWUFU020001162.1		scaffold_1698	
CAWUFU020001163.1		scaffold_1700	
CAWUFU020001164.1		scaffold_1701	
CAWUFU020001165.1		scaffold_1702	
CAWUFU020001166.1		scaffold_1704	
CAWUFU020001167.1		scaffold_1705	
CAWUFU020001168.1		scaffold_1706	
CAWUFU020001169.1		scaffold_1707	
CAWUFU020001170.1		scaffold_1708	
CAWUFU020001171.1		scaffold_1710	
CAWUFU020001172.1		scaffold_1711	
CAWUFU020001173.1		scaffold_1712	
CAWUFU020001174.1		scaffold_1713	
CAWUFU020001175.1		scaffold_1714	
CAWUFU020001176.1		scaffold_1715	
CAWUFU020001177.1		scaffold_1716	
CAWUFU020001178.1		scaffold_1717	
CAWUFU020001179.1		scaffold_1718	
CAWUFU020001180.1		scaffold_1719	
CAWUFU020001181.1		scaffold_1720	
CAWUFU020001182.1		scaffold_1721	
CAWUFU020001183.1		scaffold_1722	
CAWUFU020001184.1		scaffold_1723	
CAWUFU020001185.1		scaffold_1724	
CAWUFU020001186.1		scaffold_1725	
CAWUFU020001187.1		scaffold_1726	
CAWUFU020001188.1		scaffold_1727	
CAWUFU020001189.1		scaffold_1728	
CAWUFU020001190.1		scaffold_1729	
CAWUFU020001191.1		scaffold_1730	
CAWUFU020001192.1		scaffold_1731	
CAWUFU020001193.1		scaffold_1732	
CAWUFU020001194.1		scaffold_1733	
CAWUFU020001195.1		scaffold_1734	
CAWUFU020001196.1		scaffold_1735	
CAWUFU020001197.1		scaffold_1736	
CAWUFU020001198.1		scaffold_1737	
CAWUFU020001199.1		scaffold_1739	
CAWUFU020001200.1		scaffold_1740	
CAWUFU020001201.1		scaffold_1741	
CAWUFU020001202.1		scaffold_1742	
CAWUFU020001203.1		scaffold_1743	
CAWUFU020001204.1		scaffold_1744	
CAWUFU020001205.1		scaffold_1745	
CAWUFU020001206.1		scaffold_1746	
CAWUFU020001207.1		scaffold_1747	
CAWUFU020001208.1		scaffold_1748	
CAWUFU020001209.1		scaffold_1749	
CAWUFU020001210.1		scaffold_1750	
CAWUFU020001211.1		scaffold_1751	
CAWUFU020001212.1		scaffold_1753	
CAWUFU020001213.1		scaffold_1754	
CAWUFU020001214.1		scaffold_1755	
CAWUFU020001215.1		scaffold_1756	
CAWUFU020001216.1		scaffold_1757	
CAWUFU020001217.1		scaffold_1758	
CAWUFU020001218.1		scaffold_1759	
CAWUFU020001219.1		scaffold_1760	
CAWUFU020001220.1		scaffold_1761	
CAWUFU020001221.1		scaffold_1762	
CAWUFU020001222.1		scaffold_1763	
CAWUFU020001223.1		scaffold_1764	
CAWUFU020001224.1		scaffold_1765	
CAWUFU020001225.1		scaffold_1768	
CAWUFU020001226.1		scaffold_1769	
CAWUFU020001227.1		scaffold_1770	
CAWUFU020001228.1		scaffold_1771	
CAWUFU020001229.1		scaffold_1772	
CAWUFU020001230.1		scaffold_1773	
CAWUFU020001231.1		scaffold_1774	
CAWUFU020001232.1		scaffold_1775	
CAWUFU020001233.1		scaffold_1776	
CAWUFU020001234.1		scaffold_1777	
CAWUFU020001235.1		scaffold_1778	
CAWUFU020001236.1		scaffold_1779	
CAWUFU020001237.1		scaffold_1780	
CAWUFU020001238.1		scaffold_1781	
CAWUFU020001239.1		scaffold_1782	
CAWUFU020001240.1		scaffold_1783	
CAWUFU020001241.1		scaffold_1784	
CAWUFU020001242.1		scaffold_1785	
CAWUFU020001243.1		scaffold_1786	
CAWUFU020001244.1		scaffold_1787	
CAWUFU020001245.1		scaffold_1788	
CAWUFU020001246.1		scaffold_1790	
CAWUFU020001247.1		scaffold_1791	
CAWUFU020001248.1		scaffold_1792	
CAWUFU020001249.1		scaffold_1794	
CAWUFU020001250.1		scaffold_1795	
CAWUFU020001251.1		scaffold_1796	
CAWUFU020001252.1		scaffold_1797	
CAWUFU020001253.1		scaffold_1798	
CAWUFU020001254.1		scaffold_1799	
CAWUFU020001255.1		scaffold_1800	
CAWUFU020001256.1		scaffold_1801	
CAWUFU020001257.1		scaffold_1802	
CAWUFU020001258.1		scaffold_1803	
CAWUFU020001259.1		scaffold_1804	
CAWUFU020001260.1		scaffold_1805	
CAWUFU020001261.1		scaffold_1806	
CAWUFU020001262.1		scaffold_1807	
CAWUFU020001263.1		scaffold_1808	
CAWUFU020001264.1		scaffold_1809	
CAWUFU020001265.1		scaffold_1810	
CAWUFU020001266.1		scaffold_1811	
CAWUFU020001267.1		scaffold_1813	
CAWUFU020001268.1		scaffold_1814	
CAWUFU020001269.1		scaffold_1815	
CAWUFU020001270.1		scaffold_1816	
CAWUFU020001271.1		scaffold_1817	
CAWUFU020001272.1		scaffold_1818	
CAWUFU020001273.1		scaffold_1819	
CAWUFU020001274.1		scaffold_1820	
CAWUFU020001275.1		scaffold_1821	
CAWUFU020001276.1		scaffold_1822	
CAWUFU020001277.1		scaffold_1823	
CAWUFU020001278.1		scaffold_1824	
CAWUFU020001279.1		scaffold_1825	
CAWUFU020001280.1		scaffold_1826	
CAWUFU020001281.1		scaffold_1827	
CAWUFU020001282.1		scaffold_1828	
CAWUFU020001283.1		scaffold_1829	
CAWUFU020001284.1		scaffold_1830	
CAWUFU020001285.1		scaffold_1831	
CAWUFU020001286.1		scaffold_1833	
CAWUFU020001287.1		scaffold_1834	
CAWUFU020001288.1		scaffold_1835	
CAWUFU020001289.1		scaffold_1836	
CAWUFU020001290.1		scaffold_1838	
CAWUFU020001291.1		scaffold_1839	
CAWUFU020001292.1		scaffold_1840	
CAWUFU020001293.1		scaffold_1841	
CAWUFU020001294.1		scaffold_1842	
CAWUFU020001295.1		scaffold_1843	
CAWUFU020001296.1		scaffold_1844	
CAWUFU020001297.1		scaffold_1846	
CAWUFU020001298.1		scaffold_1847	
CAWUFU020001299.1		scaffold_1848	
CAWUFU020001300.1		scaffold_1849	
CAWUFU020001301.1		scaffold_1850	
CAWUFU020001302.1		scaffold_1851	
CAWUFU020001303.1		scaffold_1852	
CAWUFU020001304.1		scaffold_1853	
CAWUFU020001305.1		scaffold_1854	
CAWUFU020001306.1		scaffold_1855	
CAWUFU020001307.1		scaffold_1856	
CAWUFU020001308.1		scaffold_1857	
CAWUFU020001309.1		scaffold_1858	
CAWUFU020001310.1		scaffold_1859	
CAWUFU020001311.1		scaffold_1860	
CAWUFU020001312.1		scaffold_1861	
CAWUFU020001313.1		scaffold_1862	
CAWUFU020001314.1		scaffold_1863	
CAWUFU020001315.1		scaffold_1864	
CAWUFU020001316.1		scaffold_1865	
CAWUFU020001317.1		scaffold_1866	
CAWUFU020001318.1		scaffold_1868	
CAWUFU020001319.1		scaffold_1869	
CAWUFU020001320.1		scaffold_1870	
CAWUFU020001321.1		scaffold_1871	
CAWUFU020001322.1		scaffold_1872	
CAWUFU020001323.1		scaffold_1873	
CAWUFU020001324.1		scaffold_1874	
CAWUFU020001325.1		scaffold_1875	
CAWUFU020001326.1		scaffold_1876	
CAWUFU020001327.1		scaffold_1877	
CAWUFU020001328.1		scaffold_1878	
CAWUFU020001329.1		scaffold_1879	
CAWUFU020001330.1		scaffold_1880	
CAWUFU020001331.1		scaffold_1881	
CAWUFU020001332.1		scaffold_1882	
CAWUFU020001333.1		scaffold_1883	
CAWUFU020001334.1		scaffold_1884	
CAWUFU020001335.1		scaffold_1885	
CAWUFU020001336.1		scaffold_1886	
CAWUFU020001337.1		scaffold_1888	
CAWUFU020001338.1		scaffold_1889	
CAWUFU020001339.1		scaffold_1892	
CAWUFU020001340.1		scaffold_1893	
CAWUFU020001341.1		scaffold_1894	
CAWUFU020001342.1		scaffold_1896	
CAWUFU020001343.1		scaffold_1897	
CAWUFU020001344.1		scaffold_1898	
